route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
16,2,3112,"RARITAN",1,"5121",1466
16,2,3113,"RARITAN",1,"5123",1467
16,2,3114,"RARITAN",1,"5127",1468
16,2,3115,"RARITAN",1,"5155",1469
16,2,3116,"HIGH BRIDGE",1,"5711",1470
16,2,3117,"HIGH BRIDGE",1,"5719",1471
16,2,3118,"HIGH BRIDGE",1,"5733",1472
16,2,3119,"HIGH BRIDGE",1,"5747",1473
16,2,3120,"HIGH BRIDGE",1,"5175",1474
16,2,3121,"HIGH BRIDGE",1,"5179",1475
16,2,3122,"HIGH BRIDGE",1,"5193",1476
16,2,3123,"HIGH BRIDGE",1,"5197",1477
16,5,3124,"RARITAN",1,"8101",1478
16,5,3125,"RARITAN",1,"8103",1479
16,8,3126,"RARITAN",1,"8105",1480
16,8,3127,"RARITAN",1,"8101",1481
16,8,3128,"RARITAN",1,"8103",1482
16,5,3129,"RARITAN",1,"8105",1483
17,9,3130,"RvLN CAMDEN",0,"343RL211",1484
17,9,3131,"RvLN CAMDEN",0,"343RL215",1484
17,9,3132,"RvLN CAMDEN",0,"343RL219",1484
17,9,3133,"RvLN CAMDEN",0,"343RL223",1484
17,9,3134,"RvLN CAMDEN",0,"343RL227",1484
17,9,3135,"RvLN CAMDEN",0,"343RL231",1484
17,9,3136,"RvLN CAMDEN",0,"343RL235",1484
17,9,3137,"RvLN CAMDEN",0,"343RL239",1484
17,9,3138,"RvLN CAMDEN",0,"343RL243",1484
17,9,3139,"RvLN CAMDEN",0,"343RL247",1484
17,9,3140,"RvLN CAMDEN",0,"343RL251",1484
17,9,3141,"RvLN CAMDEN",0,"343RL255",1484
17,9,3142,"RvLN CAMDEN",0,"343RL259",1484
17,9,3143,"RvLN CAMDEN",0,"343RL263",1484
17,9,3144,"RvLN CAMDEN",0,"343RL267",1484
17,9,3145,"RvLN CAMDEN",0,"343RL271",1484
17,9,3146,"RvLN CAMDEN",0,"343RL275",1484
17,9,3147,"RvLN CAMDEN",0,"343RL279",1484
17,9,3148,"RvLN CAMDEN",0,"343RL283",1484
17,9,3149,"RvLN CAMDEN",0,"343RL287",1484
17,9,3150,"RvLN CAMDEN",0,"343RL291",1484
17,9,3151,"RvLN CAMDEN",0,"343RL295",1484
17,9,3152,"RvLN CAMDEN",0,"343RL299",1484
17,9,3153,"RvLN CAMDEN",0,"343RL303",1484
17,9,3154,"RvLN CAMDEN",0,"343RL307",1484
17,9,3155,"RvLN CAMDEN",0,"343RL311",1484
17,9,3156,"RvLN CAMDEN",0,"343RL315",1484
17,9,3157,"RvLN CAMDEN",0,"343RL319",1484
17,9,3158,"RvLN CAMDEN",0,"343RL323",1484
17,9,3159,"RvLN CAMDEN",0,"343RL329",1484
17,9,3160,"RvLN CAMDEN",0,"343RL333",1484
17,9,3161,"RvLN CAMDEN",0,"343RL341",1484
17,9,3162,"RvLN CAMDEN",0,"343RL345",1484
17,9,3163,"RvLN CAMDEN",0,"343RL349",1484
17,9,3164,"RvLN CAMDEN",0,"343RL353",1484
17,9,3165,"RvLN CAMDEN",0,"343RL337",1485
17,9,3166,"RvLN TRENTON",1,"343RL206",1486
17,9,3167,"RvLN TRENTON",1,"343RL210",1486
17,9,3168,"RvLN TRENTON",1,"343RL214",1486
17,9,3169,"RvLN TRENTON",1,"343RL218",1486
17,9,3170,"RvLN TRENTON",1,"343RL222",1486
17,9,3171,"RvLN TRENTON",1,"343RL226",1486
17,9,3172,"RvLN TRENTON",1,"343RL230",1486
17,9,3173,"RvLN TRENTON",1,"343RL234",1486
17,9,3174,"RvLN TRENTON",1,"343RL238",1486
17,9,3175,"RvLN TRENTON",1,"343RL242",1486
17,9,3176,"RvLN TRENTON",1,"343RL246",1486
17,9,3177,"RvLN TRENTON",1,"343RL250",1486
17,9,3178,"RvLN TRENTON",1,"343RL254",1486
17,9,3179,"RvLN TRENTON",1,"343RL258",1486
17,9,3180,"RvLN TRENTON",1,"343RL262",1486
17,9,3181,"RvLN TRENTON",1,"343RL266",1486
17,9,3182,"RvLN TRENTON",1,"343RL270",1486
17,9,3183,"RvLN TRENTON",1,"343RL274",1486
17,9,3184,"RvLN TRENTON",1,"343RL278",1486
17,9,3185,"RvLN TRENTON",1,"343RL282",1486
17,9,3186,"RvLN TRENTON",1,"343RL286",1486
17,9,3187,"RvLN TRENTON",1,"343RL290",1486
17,9,3188,"RvLN TRENTON",1,"343RL294",1486
17,9,3189,"RvLN TRENTON",1,"343RL298",1486
17,9,3190,"RvLN TRENTON",1,"343RL302",1486
17,9,3191,"RvLN TRENTON",1,"343RL306",1486
17,9,3192,"RvLN TRENTON",1,"343RL310",1486
17,9,3193,"RvLN TRENTON",1,"343RL314",1486
17,9,3194,"RvLN TRENTON",1,"343RL318",1486
17,9,3195,"RvLN TRENTON",1,"343RL322",1486
17,9,3196,"RvLN TRENTON",1,"343RL328",1486
17,9,3197,"RvLN TRENTON",1,"343RL332",1486
17,9,3198,"RvLN TRENTON",1,"343RL340",1486
17,9,3199,"RvLN TRENTON",1,"343RL344",1486
17,9,3200,"RvLN TRENTON",1,"343RL348",1486
17,9,3201,"RvLN TRENTON",1,"343RL352",1486
17,9,3202,"RvLN TRENTON",1,"343RL336",1487
17,10,3203,"RvLN CAMDEN",0,"343RL211",1488
17,10,3204,"RvLN CAMDEN",0,"343RL215",1488
17,10,3205,"RvLN CAMDEN",0,"343RL219",1488
17,10,3206,"RvLN CAMDEN",0,"343RL223",1488
17,10,3207,"RvLN CAMDEN",0,"343RL227",1488
17,10,3208,"RvLN CAMDEN",0,"343RL231",1488
17,10,3209,"RvLN CAMDEN",0,"343RL235",1488
17,10,3210,"RvLN CAMDEN",0,"343RL239",1488
17,10,3211,"RvLN CAMDEN",0,"343RL243",1488
17,10,3212,"RvLN CAMDEN",0,"343RL247",1488
17,10,3213,"RvLN CAMDEN",0,"343RL251",1488
17,10,3214,"RvLN CAMDEN",0,"343RL255",1488
17,10,3215,"RvLN CAMDEN",0,"343RL259",1488
17,10,3216,"RvLN CAMDEN",0,"343RL263",1488
17,10,3217,"RvLN CAMDEN",0,"343RL267",1488
17,10,3218,"RvLN CAMDEN",0,"343RL271",1488
17,10,3219,"RvLN CAMDEN",0,"343RL275",1488
17,10,3220,"RvLN CAMDEN",0,"343RL279",1488
17,10,3221,"RvLN CAMDEN",0,"343RL283",1488
17,10,3222,"RvLN CAMDEN",0,"343RL287",1488
17,10,3223,"RvLN CAMDEN",0,"343RL291",1488
17,10,3224,"RvLN CAMDEN",0,"343RL295",1488
17,10,3225,"RvLN CAMDEN",0,"343RL299",1488
17,10,3226,"RvLN CAMDEN",0,"343RL303",1488
17,10,3227,"RvLN CAMDEN",0,"343RL307",1488
17,10,3228,"RvLN CAMDEN",0,"343RL311",1488
17,10,3229,"RvLN CAMDEN",0,"343RL315",1488
17,10,3230,"RvLN CAMDEN",0,"343RL319",1488
17,10,3231,"RvLN CAMDEN",0,"343RL323",1488
17,10,3232,"RvLN CAMDEN",0,"343RL327",1488
17,10,3233,"RvLN BURLINGTON SOUTH",0,"343RL331",1489
17,10,3234,"RvLN TRENTON",1,"343RL206",1490
17,10,3235,"RvLN TRENTON",1,"343RL210",1490
17,10,3236,"RvLN TRENTON",1,"343RL214",1490
17,10,3237,"RvLN TRENTON",1,"343RL218",1490
17,10,3238,"RvLN TRENTON",1,"343RL222",1490
17,10,3239,"RvLN TRENTON",1,"343RL226",1490
17,10,3240,"RvLN TRENTON",1,"343RL230",1490
17,10,3241,"RvLN TRENTON",1,"343RL234",1490
17,10,3242,"RvLN TRENTON",1,"343RL238",1490
17,10,3243,"RvLN TRENTON",1,"343RL242",1490
17,10,3244,"RvLN TRENTON",1,"343RL246",1490
17,10,3245,"RvLN TRENTON",1,"343RL250",1490
17,10,3246,"RvLN TRENTON",1,"343RL254",1490
17,10,3247,"RvLN TRENTON",1,"343RL258",1490
17,10,3248,"RvLN TRENTON",1,"343RL262",1490
17,10,3249,"RvLN TRENTON",1,"343RL266",1490
17,10,3250,"RvLN TRENTON",1,"343RL270",1490
17,10,3251,"RvLN TRENTON",1,"343RL274",1490
17,10,3252,"RvLN TRENTON",1,"343RL278",1490
17,10,3253,"RvLN TRENTON",1,"343RL282",1490
17,10,3254,"RvLN TRENTON",1,"343RL286",1490
17,10,3255,"RvLN TRENTON",1,"343RL290",1490
17,10,3256,"RvLN TRENTON",1,"343RL294",1490
17,10,3257,"RvLN TRENTON",1,"343RL298",1490
17,10,3258,"RvLN TRENTON",1,"343RL302",1490
17,10,3259,"RvLN TRENTON",1,"343RL306",1490
17,10,3260,"RvLN TRENTON",1,"343RL310",1490
17,10,3261,"RvLN TRENTON",1,"343RL314",1490
17,10,3262,"RvLN TRENTON",1,"343RL318",1490
17,10,3263,"RvLN TRENTON",1,"343RL322",1490
17,10,3264,"RvLN TRENTON",1,"343RL326",1490
17,10,3265,"RvLN PENNSAUKEN RT 73 STATION",1,"343RL330",1491
17,11,3266,"RvLN CAMDEN",0,"343RL207",1492
17,11,3267,"RvLN CAMDEN",0,"343RL209",1492
17,11,3268,"RvLN CAMDEN",0,"343RL213",1492
17,11,3269,"RvLN CAMDEN",0,"343RL215",1492
17,11,3270,"RvLN CAMDEN",0,"343RL217",1492
17,11,3271,"RvLN CAMDEN",0,"343RL219",1492
17,11,3272,"RvLN CAMDEN",0,"343RL221",1492
17,11,3273,"RvLN CAMDEN",0,"343RL225",1492
17,11,3274,"RvLN CAMDEN",0,"343RL227",1492
17,11,3275,"RvLN CAMDEN",0,"343RL229",1492
17,11,3276,"RvLN CAMDEN",0,"343RL233",1492
17,11,3277,"RvLN CAMDEN",0,"343RL237",1492
17,11,3278,"RvLN CAMDEN",0,"343RL241",1492
17,11,3279,"RvLN CAMDEN",0,"343RL245",1492
17,11,3280,"RvLN CAMDEN",0,"343RL249",1492
17,11,3281,"RvLN CAMDEN",0,"343RL253",1492
17,11,3282,"RvLN CAMDEN",0,"343RL257",1492
17,11,3283,"RvLN CAMDEN",0,"343RL261",1492
17,11,3284,"RvLN CAMDEN",0,"343RL265",1492
17,11,3285,"RvLN CAMDEN",0,"343RL269",1492
17,11,3286,"RvLN CAMDEN",0,"343RL273",1492
17,11,3287,"RvLN CAMDEN",0,"343RL277",1492
17,11,3288,"RvLN CAMDEN",0,"343RL281",1492
17,11,3289,"RvLN CAMDEN",0,"343RL285",1492
17,11,3290,"RvLN CAMDEN",0,"343RL289",1492
17,11,3291,"RvLN CAMDEN",0,"343RL293",1492
17,11,3292,"RvLN CAMDEN",0,"343RL295",1492
